"","LSOA21CD","claimants_2022"
"1","E01000001",7.91666666666667
"2","E01000002",6.66666666666667
"3","E01000003",37.0833333333333
"4","E01000005",49.5833333333333
"5","E01000006",68.3333333333333
"6","E01000007",163.75
"7","E01000008",82.9166666666667
"8","E01000009",113.333333333333
"9","E01000011",93.75
"10","E01000012",123.333333333333
"11","E01000013",83.75
"12","E01000014",69.5833333333333
"13","E01000015",105.833333333333
"14","E01000016",61.25
"15","E01000017",69.1666666666667
"16","E01000018",74.1666666666667
"17","E01000019",69.1666666666667
"18","E01000020",87.9166666666667
"19","E01000021",98.3333333333333
"20","E01000022",62.0833333333333
"21","E01000024",49.5833333333333
"22","E01000025",71.25
"23","E01000027",78.3333333333333
"24","E01000028",72.9166666666667
"25","E01000029",42.9166666666667
"26","E01000030",112.083333333333
"27","E01000031",47.9166666666667
"28","E01000032",64.1666666666667
"29","E01000033",66.25
"30","E01000034",68.75
"31","E01000035",72.9166666666667
"32","E01000036",55.8333333333333
"33","E01000037",82.5
"34","E01000038",41.25
"35","E01000039",49.1666666666667
"36","E01000040",97.0833333333333
"37","E01000041",67.9166666666667
"38","E01000042",92.5
"39","E01000043",50.8333333333333
"40","E01000044",97.0833333333333
"41","E01000045",87.5
"42","E01000046",70.8333333333333
"43","E01000049",69.5833333333333
"44","E01000050",63.3333333333333
"45","E01000051",33.3333333333333
"46","E01000052",115
"47","E01000053",63.75
"48","E01000054",69.1666666666667
"49","E01000055",76.25
"50","E01000056",90
"51","E01000057",53.75
"52","E01000058",86.6666666666667
"53","E01000059",56.6666666666667
"54","E01000060",72.9166666666667
"55","E01000061",131.666666666667
"56","E01000062",69.5833333333333
"57","E01000063",62.9166666666667
"58","E01000064",98.3333333333333
"59","E01000065",72.9166666666667
"60","E01000066",66.25
"61","E01000067",83.3333333333333
"62","E01000068",66.25
"63","E01000069",50
"64","E01000070",51.25
"65","E01000071",77.9166666666667
"66","E01000072",87.0833333333333
"67","E01000073",65.4166666666667
"68","E01000074",51.25
"69","E01000075",79.1666666666667
"70","E01000076",85.8333333333333
"71","E01000077",74.5833333333333
"72","E01000078",63.75
"73","E01000079",50.4166666666667
"74","E01000080",68.75
"75","E01000081",59.1666666666667
"76","E01000082",75.8333333333333
"77","E01000083",67.9166666666667
"78","E01000084",57.0833333333333
"79","E01000085",83.3333333333333
"80","E01000086",58.3333333333333
"81","E01000087",71.25
"82","E01000088",66.6666666666667
"83","E01000089",77.9166666666667
"84","E01000090",85
"85","E01000091",117.083333333333
"86","E01000093",87.0833333333333
"87","E01000094",100
"88","E01000095",84.5833333333333
"89","E01000096",52.5
"90","E01000097",64.5833333333333
"91","E01000098",91.25
"92","E01000099",85
"93","E01000100",64.1666666666667
"94","E01000101",67.5
"95","E01000102",87.0833333333333
"96","E01000103",72.0833333333333
"97","E01000104",94.5833333333333
"98","E01000105",120.833333333333
"99","E01000106",145
"100","E01000107",57.9166666666667
"101","E01000108",67.5
"102","E01000110",50.8333333333333
"103","E01000111",86.25
"104","E01000112",73.3333333333333
"105","E01000113",68.3333333333333
"106","E01000114",87.5
"107","E01000115",13.3333333333333
"108","E01000116",27.5
"109","E01000117",25.8333333333333
"110","E01000118",43.75
"111","E01000119",26.25
"112","E01000120",24.5833333333333
"113","E01000121",42.5
"114","E01000122",25
"115","E01000123",43.3333333333333
"116","E01000124",76.6666666666667
"117","E01000126",121.666666666667
"118","E01000127",58.3333333333333
"119","E01000128",60.8333333333333
"120","E01000129",85.8333333333333
"121","E01000130",75
"122","E01000131",67.5
"123","E01000132",55.8333333333333
"124","E01000133",53.75
"125","E01000134",57.5
"126","E01000135",33.3333333333333
"127","E01000136",16.25
"128","E01000137",54.1666666666667
"129","E01000138",86.6666666666667
"130","E01000139",45
"131","E01000140",60.8333333333333
"132","E01000141",120.833333333333
"133","E01000142",96.25
"134","E01000143",84.5833333333333
"135","E01000144",65.8333333333333
"136","E01000145",42.5
"137","E01000146",80.4166666666667
"138","E01000147",43.75
"139","E01000150",71.6666666666667
"140","E01000151",91.6666666666667
"141","E01000152",79.5833333333333
"142","E01000153",86.6666666666667
"143","E01000154",81.25
"144","E01000156",40.8333333333333
"145","E01000157",41.6666666666667
"146","E01000158",43.3333333333333
"147","E01000159",34.1666666666667
"148","E01000160",66.25
"149","E01000161",62.9166666666667
"150","E01000162",40.8333333333333
"151","E01000163",70.4166666666667
"152","E01000164",68.3333333333333
"153","E01000165",48.75
"154","E01000166",40.8333333333333
"155","E01000167",49.1666666666667
"156","E01000168",10.8333333333333
"157","E01000169",38.75
"158","E01000170",59.5833333333333
"159","E01000171",128.75
"160","E01000172",31.25
"161","E01000173",30.8333333333333
"162","E01000174",62.0833333333333
"163","E01000175",18.75
"164","E01000176",57.0833333333333
"165","E01000177",36.25
"166","E01000178",26.25
"167","E01000179",49.5833333333333
"168","E01000180",64.1666666666667
"169","E01000181",25.4166666666667
"170","E01000182",33.75
"171","E01000183",20.8333333333333
"172","E01000184",71.25
"173","E01000185",68.3333333333333
"174","E01000186",12.9166666666667
"175","E01000187",34.5833333333333
"176","E01000188",16.6666666666667
"177","E01000189",70
"178","E01000190",37.9166666666667
"179","E01000191",23.3333333333333
