"","SOA_NAME","male","female","total","ID"
"1","Aldergrove 1","#","#",0,1
"2","Aldergrove 2","13","4",17,1
"3","Aldergrove 3","11","#",13,1
"4","Balloo","31","8",39,1
"5","Ballycraigy","38","14",52,1
"6","Clady","16","10",26,1
"7","Cranfield","23","18",41,1
"8","Crumlin 1 Antrim","26","11",37,1
"9","Crumlin 2 Antrim","24","22",46,1
"10","Drumanaway","21","4",25,1
"11","Farranshane","34","16",50,1
"12","Fountain Hill","39","23",62,1
"13","Greystone Antrim","32","16",48,1
"14","Massereene 1","33","18",51,1
"15","Massereene 2","9","3",12,1
"16","Parkgate","13","4",17,1
"17","Randalstown 1","20","12",32,1
"18","Randalstown 2","16","7",23,1
"19","Shilvodan","13","6",19,1
"20","Springfarm 1","30","13",43,1
"21","Springfarm 2","23","18",41,1
"22","Steeple","39","17",56,1
"23","Stiles","34","13",47,1
"24","Templepatrick","10","3",13,1
"25","Toome","22","12",34,1
"26","Ballygowan 1","8","5",13,1
"27","Ballygowan 2","18","6",24,1
"28","Ballyrainey","73","23",96,1
"29","Ballywalter 1","43","27",70,1
"30","Ballywalter 2","27","9",36,1
"31","Bradshaw's Brae 1","18","13",31,1
"32","Bradshaw's Brae 2","21","3",24,1
"33","Carrowdore 1","11","5",16,1
"34","Carrowdore 2","24","11",35,1
"35","Central Ards","95","36",131,1
"36","Comber East 1","30","16",46,1
"37","Comber East 2","17","6",23,1
"38","Comber North 1","29","14",43,1
"39","Comber North 2","12","6",18,1
"40","Comber West 1","16","#",16,1
"41","Comber West 2","12","9",21,1
"42","Donaghadee North 1","25","17",42,1
"43","Donaghadee North 2","6","9",15,1
"44","Donaghadee South 1","21","9",30,1
"45","Donaghadee South 2","19","9",28,1
"46","Glen 1","53","26",79,1
"47","Glen 2","16","8",24,1
"48","Gregstown 1","30","16",46,1
"49","Gregstown 2","25","6",31,1
"50","Gregstown 3","16","7",23,1
"51","Killinchy 1","10","5",15,1
"52","Killinchy 2","17","3",20,1
"53","Kircubbin 1","19","6",25,1
"54","Kircubbin 2","20","14",34,1
"55","Lisbane 1","#","4",6,1
"56","Lisbane 2","7","3",10,1
"57","Loughries 1","27","8",35,1
"58","Loughries 2","28","9",37,1
"59","Millisle 1","23","5",28,1
"60","Millisle 2","15","7",22,1
"61","Movilla 1","22","12",34,1
"62","Movilla 2","14","4",18,1
"63","Movilla 3","7","3",10,1
"64","Portaferry 1","20","13",33,1
"65","Portaferry 2","42","18",60,1
"66","Portavogie 1","26","14",40,1
"67","Portavogie 2","28","18",46,1
"68","Scrabo 1","37","19",56,1
"69","Scrabo 2","64","35",99,1
"70","Whitespots 1","20","7",27,1
"71","Whitespots 2","10","6",16,1
"72","Abbey Park","36","22",58,1
"73","Ballymartrim","35","19",54,1
"74","Callan Bridge","85","29",114,1
"75","Carrigatuke","25","16",41,1
"76","Charlemont","23","16",39,1
"77","Demesne 1","13","10",23,1
"78","Demesne 2","11","9",20,1
"79","Derrynoose","39","15",54,1
"80","Downs","47","19",66,1
"81","Hamiltonsbawn 1","7","5",12,1
"82","Hamiltonsbawn 2","10","6",16,1
"83","Hockley","15","10",25,1
"84","Keady","33","19",52,1
"85","Killeen","20","17",37,1
"86","Killylea","12","10",22,1
"87","Laurelvale","21","9",30,1
"88","Loughgall","34","11",45,1
"89","Markethill","35","22",57,1
"90","Milford","16","12",28,1
"91","Observatory","26","17",43,1
"92","Poyntz Pass","30","15",45,1
"93","Rich Hill 1","#","5",7,1
"94","Rich Hill 2","15","9",24,1
"95","Tandragee","31","17",48,1
"96","The Mall","33","16",49,1
"97","Academy","23","8",31,1
"98","Ahoghill 1","9","8",17,1
"99","Ahoghill 2","17","7",24,1
"100","Ardeevin","16","8",24,1
"101","Ballee","61","23",84,1
"102","Ballykeel","49","33",82,1
"103","Ballyloughan","9","7",16,1
"104","Broughshane 1","14","6",20,1
"105","Broughshane 2","14","8",22,1
"106","Castle Demesne","51","18",69,1
"107","Craigywarren","22","3",25,1
"108","Cullybackey","44","26",70,1
"109","Dunclug","53","19",72,1
"110","Dunminning","12","8",20,1
"111","Fair Green","50","21",71,1
"112","Galgorm 1","9","6",15,1
"113","Galgorm 2","4","#",4,1
"114","Glenravel","22","20",42,1
"115","Glenwhirry","13","8",21,1
"116","Grange","31","12",43,1
"117","Harryville","42","29",71,1
"118","Kells 1","28","6",34,1
"119","Kells 2","10","4",14,1
"120","Moat","44","19",63,1
"121","Park","30","15",45,1
"122","Portglenone 1","15","4",19,1
"123","Portglenone 2","15","12",27,1
"124","Slemish","11","3",14,1
"125","Summerfield","21","12",33,1
"126","Ballyhoe and Corkey","31","11",42,1
"127","Benvardin","33","16",49,1
"128","Carnany","44","19",63,1
"129","Clogh Mills","18","16",34,1
"130","Dervock","19","10",29,1
"131","Dunloy","16","10",26,1
"132","Fairhill","27","20",47,1
"133","Glebe","24","7",31,1
"134","Killoquin Lower","15","10",25,1
"135","Killoquin Upper","11","4",15,1
"136","Knockaholet","23","6",29,1
"137","Newhill","41","18",59,1
"138","Route","36","14",50,1
"139","Seacon","35","16",51,1
"140","Stranocum","18","7",25,1
"141","The Vow","22","5",27,1
"142","Ballydown 1","10","8",18,1
"143","Ballydown 2","15","8",23,1
"144","Ballyward","20","16",36,1
"145","Banbridge West","33","21",54,1
"146","Bannside","11","7",18,1
"147","Dromore North","31","14",45,1
"148","Dromore South 1","20","7",27,1
"149","Dromore South 2","14","9",23,1
"150","Edenderry","52","19",71,1
"151","Fort","26","16",42,1
"152","Gilford","34","20",54,1
"153","Gransha","24","7",31,1
"154","Katesbridge","16","12",28,1
"155","Lawrencetown","19","16",35,1
"156","Loughbrickland","24","15",39,1
"157","Quilly","20","5",25,1
"158","Rathfriland","36","17",53,1
"159","Seapatrick","30","16",46,1
"160","The Cut","39","15",54,1
"161","Andersonstown 1","41","7",48,1
"162","Andersonstown 2","37","22",59,1
"163","Andersonstown 3","34","18",52,1
"164","Ardoyne 1","60","22",82,1
"165","Ardoyne 2","84","22",106,1
"166","Ardoyne 3","79","31",110,1
"167","Ballyhackamore 1","15","9",24,1
"168","Ballyhackamore 2","15","21",36,1
"169","Ballyhackamore 3","35","12",47,1
"170","Ballymacarrett 1","54","13",67,1
"171","Ballymacarrett 2","45","8",53,1
"172","Ballymacarrett 3","91","23",114,1
"173","Ballynafeigh 1","29","15",44,1
"174","Ballynafeigh 2","31","10",41,1
"175","Ballynafeigh 3","47","25",72,1
"176","Ballysillan 1","45","27",72,1
"177","Ballysillan 2","45","19",64,1
"178","Ballysillan 3","41","19",60,1
"179","Beechmount 1","55","19",74,1
"180","Beechmount 2","62","32",94,1
"181","Beechmount 3","46","13",59,1
"182","Bellevue 1","25","7",32,1
"183","Bellevue 2","51","22",73,1
"184","Bellevue 3","46","14",60,1
"185","Belmont 1","8","11",19,1
"186","Belmont 2","11","6",17,1
"187","Belmont 3","26","16",42,1
"188","Blackstaff 1","61","24",85,1
"189","Blackstaff 2","92","31",123,1
"190","Bloomfield 1 Belfast","60","22",82,1
"191","Bloomfield 2 Belfast","27","6",33,1
"192","Bloomfield 3 Belfast","57","17",74,1
"193","Botanic 1","41","11",52,1
"194","Botanic 2","34","11",45,1
"195","Botanic 3","44","15",59,1
"196","Botanic 4","44","15",59,1
"197","Botanic 5","59","27",86,1
"198","Castleview 1","53","16",69,1
"199","Castleview 2","9","8",17,1
"200","Castleview 3","30","16",46,1
"201","Cavehill 1","20","5",25,1
"202","Cavehill 2","15","9",24,1
"203","Cavehill 3","16","13",29,1
"204","Cherryvalley 1","6","9",15,1
"205","Cherryvalley 2","13","4",17,1
"206","Cherryvalley 3","36","12",48,1
"207","Chichester Park 1","92","19",111,1
"208","Chichester Park 2","42","21",63,1
"209","Chichester Park 3","27","8",35,1
"210","Cliftonville 1","82","24",106,1
"211","Cliftonville 2","23","7",30,1
"212","Cliftonville 3","49","19",68,1
"213","Clonard 1","82","35",117,1
"214","Clonard 2","100","35",135,1
"215","Crumlin 1 Belfast","70","48",118,1
"216","Crumlin 2 Belfast","92","30",122,1
"217","Duncairn 1","131","43",174,1
"218","Duncairn 2","75","30",105,1
"219","Falls 1","60","12",72,1
"220","Falls 2","47","19",66,1
"221","Falls 3","77","21",98,1
"222","Falls Park 1","50","16",66,1
"223","Falls Park 2","44","19",63,1
"224","Falls Park 3","40","12",52,1
"225","Finaghy 1","5","3",8,1
"226","Finaghy 2","16","6",22,1
"227","Finaghy 3","14","6",20,1
"228","Fortwilliam 1","19","4",23,1
"229","Fortwilliam 2","27","6",33,1
"230","Fortwilliam 3","22","14",36,1
"231","Glen Road 1","55","22",77,1
"232","Glen Road 2","47","28",75,1
"233","Glen Road 3","46","25",71,1
"234","Glencairn 1","62","17",79,1
"235","Glencairn 2","53","15",68,1
"236","Glencolin 1","37","7",44,1
"237","Glencolin 2","73","31",104,1
"238","Glencolin 3","53","11",64,1
"239","Glencolin 4","55","24",79,1
"240","Highfield 1","35","14",49,1
"241","Highfield 2","32","15",47,1
"242","Highfield 3","53","29",82,1
"243","Island 1","78","19",97,1
"244","Island 2","64","27",91,1
