"","geography_code","monthaverageCC_counts"
"1","S01006506",11.25
"2","S01006507",5
"3","S01006508",7.5
"4","S01006509",5
"5","S01006510",3.75
"6","S01006511",5
"7","S01006512",2.5
"8","S01006513",1.25
"9","S01006514",2.5
"10","S01006515",0
"11","S01006516",0
"12","S01006517",6.25
"13","S01006518",0
"14","S01006519",3.75
"15","S01006520",3.75
"16","S01006521",2.5
"17","S01006522",0
"18","S01006523",5
"19","S01006524",3.75
"20","S01006525",6.25
"21","S01006526",17.5
"22","S01006527",16.25
"23","S01006528",12.5
"24","S01006529",13.75
"25","S01006530",15
"26","S01006531",16.25
"27","S01006532",6.25
"28","S01006533",3.75
"29","S01006534",6.25
"30","S01006535",10
"31","S01006536",13.75
"32","S01006537",2.5
"33","S01006538",5
"34","S01006539",6.25
"35","S01006540",3.75
"36","S01006541",5
"37","S01006542",5
"38","S01006543",5
"39","S01006544",5
"40","S01006545",6.25
"41","S01006546",1.25
"42","S01006547",15
"43","S01006548",1.25
"44","S01006549",2.5
"45","S01006550",5
"46","S01006551",18.75
"47","S01006552",5
"48","S01006553",5
"49","S01006554",12.5
"50","S01006555",20
"51","S01006556",18.75
"52","S01006557",16.25
"53","S01006558",5
"54","S01006559",1.25
"55","S01006560",5
"56","S01006561",2.5
"57","S01006562",5
"58","S01006563",5
"59","S01006564",15
"60","S01006565",22.5
"61","S01006566",5
"62","S01006567",25
"63","S01006568",16.25
"64","S01006569",6.25
"65","S01006570",0
"66","S01006571",5
"67","S01006572",1.25
"68","S01006573",5
"69","S01006574",5
"70","S01006575",3.75
"71","S01006576",6.25
"72","S01006577",7.5
"73","S01006578",15
"74","S01006579",12.5
"75","S01006580",10
"76","S01006581",5
"77","S01006582",12.5
"78","S01006583",8.75
"79","S01006584",8.75
"80","S01006585",25
"81","S01006586",15
"82","S01006587",27.5
"83","S01006588",12.5
"84","S01006589",18.75
"85","S01006590",13.75
"86","S01006591",15
"87","S01006592",8.75
"88","S01006593",3.75
"89","S01006594",7.5
"90","S01006595",12.5
"91","S01006596",6.25
"92","S01006597",12.5
"93","S01006598",7.5
"94","S01006599",15
"95","S01006600",8.75
"96","S01006601",17.5
"97","S01006602",11.25
"98","S01006603",20
"99","S01006604",13.75
"100","S01006605",20
"101","S01006606",8.75
"102","S01006607",15
"103","S01006608",15
"104","S01006609",16.25
"105","S01006610",12.5
"106","S01006611",10
"107","S01006612",8.75
"108","S01006613",5
"109","S01006614",5
"110","S01006615",7.5
"111","S01006616",6.25
"112","S01006617",6.25
"113","S01006618",0
"114","S01006619",5
"115","S01006620",6.25
"116","S01006621",6.25
"117","S01006622",5
"118","S01006623",17.5
"119","S01006624",27.5
"120","S01006625",13.75
"121","S01006626",30
"122","S01006627",32.5
"123","S01006628",42.5
"124","S01006629",22.5
"125","S01006630",13.75
"126","S01006631",30
"127","S01006632",33.75
"128","S01006633",36.25
"129","S01006634",27.5
"130","S01006635",15
"131","S01006636",30
"132","S01006637",20
"133","S01006638",27.5
"134","S01006639",38.75
"135","S01006640",7.5
"136","S01006641",26.25
"137","S01006642",22.5
"138","S01006643",6.25
"139","S01006644",18.75
"140","S01006645",40
"141","S01006646",8.75
"142","S01006647",15
"143","S01006648",40
"144","S01006649",26.25
"145","S01006650",23.75
"146","S01006651",17.5
"147","S01006652",10
"148","S01006653",5
"149","S01006654",25
"150","S01006655",5
"151","S01006656",13.75
"152","S01006657",10
"153","S01006658",31.25
"154","S01006659",5
"155","S01006660",11.25
"156","S01006661",1.25
"157","S01006662",22.5
"158","S01006663",5
"159","S01006664",3.75
"160","S01006665",11.25
"161","S01006666",35
"162","S01006667",40
"163","S01006668",11.25
"164","S01006669",16.25
"165","S01006670",12.5
"166","S01006671",7.5
"167","S01006672",18.75
"168","S01006673",23.75
"169","S01006674",45
"170","S01006675",31.25
"171","S01006676",28.75
"172","S01006677",41.25
"173","S01006678",52.5
"174","S01006679",1.25
"175","S01006680",32.5
"176","S01006681",23.75
"177","S01006682",30
"178","S01006683",26.25
"179","S01006684",41.25
"180","S01006685",32.5
"181","S01006686",22.5
"182","S01006687",15
"183","S01006688",6.25
"184","S01006689",1.25
"185","S01006690",8.75
"186","S01006691",5
"187","S01006692",7.5
"188","S01006693",20
"189","S01006694",23.75
"190","S01006695",10
"191","S01006696",23.75
"192","S01006697",27.5
"193","S01006698",23.75
"194","S01006699",3.75
"195","S01006700",18.75
"196","S01006701",23.75
"197","S01006702",7.5
"198","S01006703",16.25
"199","S01006704",18.75
"200","S01006705",12.5
"201","S01006706",11.25
"202","S01006707",20
"203","S01006708",8.75
"204","S01006709",16.25
"205","S01006710",12.5
"206","S01006711",16.25
"207","S01006712",7.5
"208","S01006713",16.25
"209","S01006714",6.25
"210","S01006715",15
"211","S01006716",13.75
"212","S01006717",12.5
"213","S01006718",8.75
"214","S01006719",18.75
"215","S01006720",11.25
"216","S01006721",26.25
"217","S01006722",10
"218","S01006723",8.75
"219","S01006724",40
"220","S01006725",16.25
"221","S01006726",25
"222","S01006727",32.5
"223","S01006728",18.75
"224","S01006729",27.5
"225","S01006730",16.25
"226","S01006731",15
"227","S01006732",10
"228","S01006733",3.75
"229","S01006734",6.25
"230","S01006735",0
"231","S01006736",11.25
"232","S01006737",2.5
"233","S01006738",21.25
"234","S01006739",8.75
"235","S01006740",13.75
"236","S01006741",7.5
"237","S01006742",7.5
"238","S01006743",7.5
"239","S01006744",7.5
"240","S01006745",15
"241","S01006746",15
"242","S01006747",5
"243","S01006748",11.25
"244","S01006749",12.5
"245","S01006750",6.25
"246","S01006751",5
"247","S01006752",8.75
"248","S01006753",11.25
"249","S01006754",5
"250","S01006755",7.5
"251","S01006756",3.75
"252","S01006757",2.5
"253","S01006758",3.75
"254","S01006759",6.25
"255","S01006760",2.5
"256","S01006761",3.75
"257","S01006762",7.5
"258","S01006763",2.5
"259","S01006764",5
"260","S01006765",10
"261","S01006766",5
"262","S01006767",3.75
"263","S01006768",2.5
"264","S01006769",7.5
"265","S01006770",7.5
"266","S01006771",2.5
"267","S01006772",3.75
"268","S01006773",6.25
"269","S01006774",2.5
"270","S01006775",6.25
"271","S01006776",8.75
"272","S01006777",1.25
"273","S01006778",7.5
"274","S01006779",8.75
"275","S01006780",5
"276","S01006781",6.25
"277","S01006782",7.5
"278","S01006783",8.75
"279","S01006784",3.75
"280","S01006785",2.5
"281","S01006786",7.5
"282","S01006787",5
"283","S01006788",5
"284","S01006789",3.75
"285","S01006790",6.25
"286","S01006791",6.25
"287","S01006792",1.25
"288","S01006793",2.5
"289","S01006794",10
"290","S01006795",2.5
"291","S01006796",7.5
"292","S01006797",1.25
"293","S01006798",5
"294","S01006799",5
"295","S01006800",3.75
"296","S01006801",6.25
"297","S01006802",3.75
"298","S01006803",10
"299","S01006804",6.25
"300","S01006805",16.25
"301","S01006806",2.5
"302","S01006807",5
"303","S01006808",2.5
"304","S01006809",11.25
"305","S01006810",10
"306","S01006811",8.75
"307","S01006812",1.25
"308","S01006813",8.75
"309","S01006814",3.75
"310","S01006815",10
"311","S01006816",8.75
"312","S01006817",5
"313","S01006818",5
"314","S01006819",1.25
"315","S01006820",2.5
"316","S01006821",5
"317","S01006822",5
"318","S01006823",1.25
"319","S01006824",16.25
"320","S01006825",7.5
"321","S01006826",3.75
"322","S01006827",13.75
"323","S01006828",12.5
"324","S01006829",0
"325","S01006830",10
"326","S01006831",2.5
"327","S01006832",5
"328","S01006833",1.25
"329","S01006834",3.75
"330","S01006835",10
"331","S01006836",0
"332","S01006837",5
"333","S01006838",3.75
"334","S01006839",5
"335","S01006840",5
"336","S01006841",6.25
"337","S01006842",1.25
"338","S01006843",5
"339","S01006844",8.75
"340","S01006845",8.75
"341","S01006846",5
"342","S01006847",8.75
"343","S01006848",8.75
"344","S01006849",12.5
"345","S01006850",13.75
"346","S01006851",10
"347","S01006852",5
"348","S01006853",5
"349","S01006854",6.25
"350","S01006855",5
"351","S01006856",2.5
"352","S01006857",2.5
"353","S01006858",1.25
"354","S01006859",5
"355","S01006860",3.75
"356","S01006861",5
"357","S01006862",5
"358","S01006863",3.75
"359","S01006864",7.5
"360","S01006865",2.5
"361","S01006866",1.25
"362","S01006867",0
"363","S01006868",8.75
"364","S01006869",2.5
"365","S01006870",3.75
"366","S01006871",0
"367","S01006872",2.5
"368","S01006873",2.5
"369","S01006874",1.25
"370","S01006875",7.5
"371","S01006876",3.75
"372","S01006877",5
"373","S01006878",5
"374","S01006879",5
"375","S01006880",3.75
"376","S01006881",0
"377","S01006882",2.5
"378","S01006883",5
"379","S01006884",8.75
"380","S01006885",7.5
"381","S01006886",5
"382","S01006887",5
"383","S01006888",3.75
"384","S01006889",17.5
"385","S01006890",5
"386","S01006891",5
"387","S01006892",5
"388","S01006893",6.25
"389","S01006894",8.75
"390","S01006895",7.5
"391","S01006896",10
"392","S01006897",2.5
"393","S01006898",8.75
"394","S01006899",5
"395","S01006900",5
"396","S01006901",7.5
"397","S01006902",13.75
"398","S01006903",20
"399","S01006904",6.25
"400","S01006905",5
"401","S01006906",15
"402","S01006907",11.25
"403","S01006908",11.25
"404","S01006909",2.5
"405","S01006910",5
"406","S01006911",0
"407","S01006912",1.25
"408","S01006913",0
"409","S01006914",2.5
"410","S01006915",5
"411","S01006916",7.5
"412","S01006917",5
"413","S01006918",5
"414","S01006919",1.25
"415","S01006920",3.75
"416","S01006921",5
"417","S01006922",3.75
"418","S01006923",3.75
"419","S01006924",5
"420","S01006925",6.25
"421","S01006926",2.5
"422","S01006927",7.5
"423","S01006928",12.5
"424","S01006929",2.5
"425","S01006930",3.75
"426","S01006931",0
"427","S01006932",8.75
"428","S01006933",3.75
"429","S01006934",6.25
"430","S01006935",3.75
"431","S01006936",3.75
"432","S01006937",5
"433","S01006938",0
"434","S01006939",2.5
"435","S01006940",3.75
"436","S01006941",7.5
"437","S01006942",7.5
"438","S01006943",2.5
"439","S01006944",8.75
"440","S01006945",1.25
"441","S01006946",1.25
"442","S01006947",5
"443","S01006948",5
"444","S01006949",3.75
"445","S01006950",8.75
"446","S01006951",5
"447","S01006952",5
"448","S01006953",5
"449","S01006954",2.5
"450","S01006955",10
"451","S01006956",7.5
"452","S01006957",5
"453","S01006958",7.5
"454","S01006959",11.25
"455","S01006960",6.25
"456","S01006961",7.5
"457","S01006962",5
"458","S01006963",5
"459","S01006964",5
"460","S01006965",3.75
"461","S01006966",13.75
"462","S01006967",3.75
"463","S01006968",3.75
"464","S01006969",8.75
"465","S01006970",3.75
"466","S01006971",3.75
"467","S01006972",1.25
"468","S01006973",6.25
"469","S01006974",12.5
"470","S01006975",1.25
"471","S01006976",3.75
"472","S01006977",3.75
"473","S01006978",11.25
"474","S01006979",7.5
"475","S01006980",5
"476","S01006981",6.25
"477","S01006982",6.25
"478","S01006983",10
"479","S01006984",7.5
"480","S01006985",7.5
"481","S01006986",2.5
"482","S01006987",8.75
"483","S01006988",5
"484","S01006989",3.75
"485","S01006990",6.25
"486","S01006991",7.5
"487","S01006992",2.5
"488","S01006993",5
"489","S01006994",5
"490","S01006995",2.5
"491","S01006996",6.25
"492","S01006997",5
"493","S01006998",7.5
"494","S01006999",5
"495","S01007000",10
"496","S01007001",12.5
"497","S01007002",5
"498","S01007003",0
"499","S01007004",5
"500","S01007005",3.75
"501","S01007006",5
"502","S01007007",5
"503","S01007008",6.25
"504","S01007009",15
"505","S01007010",1.25
"506","S01007011",16.25
"507","S01007012",16.25
"508","S01007013",5
"509","S01007014",6.25
"510","S01007015",1.25
"511","S01007016",6.25
"512","S01007017",11.25
"513","S01007018",10
"514","S01007019",8.75
"515","S01007020",10
"516","S01007021",5
"517","S01007022",6.25
"518","S01007023",1.25
"519","S01007024",7.5
"520","S01007025",8.75
"521","S01007026",8.75
"522","S01007027",7.5
"523","S01007028",3.75
"524","S01007029",0
"525","S01007030",10
"526","S01007031",8.75
"527","S01007032",21.25
"528","S01007033",8.75
"529","S01007034",7.5
"530","S01007035",20
"531","S01007036",8.75
"532","S01007037",15
"533","S01007038",15
"534","S01007039",8.75
"535","S01007040",7.5
"536","S01007041",18.75
"537","S01007042",10
"538","S01007043",5
"539","S01007044",5
"540","S01007045",6.25
"541","S01007046",3.75
"542","S01007047",3.75
"543","S01007048",5
"544","S01007049",11.25
"545","S01007050",7.5
"546","S01007051",5
"547","S01007052",5
"548","S01007053",6.25
"549","S01007054",10
"550","S01007055",1.25
"551","S01007056",1.25
"552","S01007057",5
"553","S01007058",5
"554","S01007059",6.25
"555","S01007060",10
"556","S01007061",5
"557","S01007062",6.25
"558","S01007063",6.25
"559","S01007064",5
"560","S01007065",8.75
"561","S01007066",5
"562","S01007067",3.75
"563","S01007068",16.25
"564","S01007069",10
"565","S01007070",12.5
"566","S01007071",11.25
"567","S01007072",6.25
"568","S01007073",5
"569","S01007074",11.25
"570","S01007075",8.75
"571","S01007076",10
"572","S01007077",2.5
"573","S01007078",15
"574","S01007079",21.25
"575","S01007080",10
"576","S01007081",16.25
"577","S01007082",10
"578","S01007083",30
"579","S01007084",10
"580","S01007085",20
"581","S01007086",65
"582","S01007087",33.75
"583","S01007088",15
"584","S01007089",3.75
"585","S01007090",5
"586","S01007091",8.75
"587","S01007092",12.5
"588","S01007093",8.75
"589","S01007094",8.75
"590","S01007095",5
"591","S01007096",2.5
"592","S01007097",7.5
"593","S01007098",3.75
"594","S01007099",5
"595","S01007100",5
"596","S01007101",11.25
"597","S01007102",3.75
"598","S01007103",6.25
"599","S01007104",0
"600","S01007105",2.5
"601","S01007106",8.75
"602","S01007107",2.5
"603","S01007108",2.5
"604","S01007109",20
"605","S01007110",11.25
"606","S01007111",3.75
"607","S01007112",1.25
"608","S01007113",2.5
"609","S01007114",2.5
"610","S01007115",3.75
"611","S01007116",0
"612","S01007117",0
"613","S01007118",6.25
"614","S01007119",10
"615","S01007120",15
"616","S01007121",12.5
"617","S01007122",6.25
"618","S01007123",5
"619","S01007124",5
"620","S01007125",8.75
"621","S01007126",26.25
"622","S01007127",30
"623","S01007128",11.25
"624","S01007129",5
"625","S01007130",3.75
"626","S01007131",5
"627","S01007132",3.75
"628","S01007133",2.5
"629","S01007134",5
"630","S01007135",0
"631","S01007136",2.5
"632","S01007137",5
"633","S01007138",6.25
"634","S01007139",3.75
"635","S01007140",1.25
"636","S01007141",2.5
"637","S01007142",1.25
"638","S01007143",1.25
"639","S01007144",6.25
"640","S01007145",5
"641","S01007146",3.75
