"","LSOA21CD","claimants_2022"
"1","W01000003",69.1666666666667
"2","W01000004",19.5833333333333
"3","W01000005",32.0833333333333
"4","W01000006",16.6666666666667
"5","W01000007",27.0833333333333
"6","W01000008",14.5833333333333
"7","W01000009",40
"8","W01000010",19.1666666666667
"9","W01000011",15.8333333333333
"10","W01000012",28.75
"11","W01000013",20.4166666666667
"12","W01000014",35.4166666666667
"13","W01000015",12.5
"14","W01000016",56.6666666666667
"15","W01000017",59.5833333333333
"16","W01000018",25
"17","W01000019",13.75
"18","W01000021",34.5833333333333
"19","W01000022",27.0833333333333
"20","W01000023",28.75
"21","W01000024",22.9166666666667
"22","W01000025",22.9166666666667
"23","W01000026",17.9166666666667
"24","W01000027",29.1666666666667
"25","W01000028",30.8333333333333
"26","W01000029",47.5
"27","W01000030",75.8333333333333
"28","W01000031",28.3333333333333
"29","W01000033",71.6666666666667
"30","W01000034",27.9166666666667
"31","W01000035",24.1666666666667
"32","W01000036",65
"33","W01000037",24.5833333333333
"34","W01000038",30.4166666666667
"35","W01000040",12.0833333333333
"36","W01000041",47.0833333333333
"37","W01000042",32.9166666666667
"38","W01000044",5.41666666666667
"39","W01000047",9.16666666666667
"40","W01000050",37.5
"41","W01000051",25.8333333333333
"42","W01000052",9.58333333333333
"43","W01000053",21.6666666666667
"44","W01000054",8.75
"45","W01000056",33.3333333333333
"46","W01000057",8.75
"47","W01000059",56.6666666666667
"48","W01000060",20.8333333333333
"49","W01000061",20
"50","W01000062",58.75
"51","W01000063",40
"52","W01000064",32.0833333333333
"53","W01000065",22.0833333333333
"54","W01000066",15.4166666666667
"55","W01000067",15
"56","W01000068",23.75
"57","W01000070",10.4166666666667
"58","W01000071",44.1666666666667
"59","W01000072",32.5
"60","W01000073",20.4166666666667
"61","W01000074",23.75
"62","W01000075",39.1666666666667
"63","W01000076",67.0833333333333
"64","W01000077",31.6666666666667
"65","W01000078",21.6666666666667
"66","W01000080",15.4166666666667
"67","W01000081",28.3333333333333
"68","W01000082",11.6666666666667
"69","W01000083",3.75
"70","W01000084",6.25
"71","W01000085",32.0833333333333
"72","W01000086",38.3333333333333
"73","W01000087",18.3333333333333
"74","W01000088",29.5833333333333
"75","W01000089",17.9166666666667
"76","W01000090",51.6666666666667
"77","W01000091",68.3333333333333
"78","W01000092",34.5833333333333
"79","W01000093",31.6666666666667
"80","W01000094",7.91666666666667
"81","W01000095",21.25
"82","W01000096",28.3333333333333
"83","W01000097",47.5
"84","W01000098",96.6666666666667
"85","W01000099",25.4166666666667
"86","W01000100",10.4166666666667
"87","W01000101",12.5
"88","W01000102",7.91666666666667
"89","W01000103",25.4166666666667
"90","W01000104",29.5833333333333
"91","W01000105",28.75
"92","W01000106",10.4166666666667
"93","W01000107",25
"94","W01000108",49.1666666666667
"95","W01000109",28.3333333333333
"96","W01000110",13.3333333333333
"97","W01000111",48.3333333333333
"98","W01000112",32.5
"99","W01000113",28.75
"100","W01000114",18.75
"101","W01000115",30
"102","W01000116",10.4166666666667
"103","W01000117",35.4166666666667
"104","W01000118",23.75
"105","W01000119",37.9166666666667
"106","W01000121",18.75
"107","W01000122",24.5833333333333
"108","W01000123",32.0833333333333
"109","W01000124",19.1666666666667
"110","W01000125",14.5833333333333
"111","W01000126",27.0833333333333
"112","W01000127",42.5
"113","W01000128",32.5
"114","W01000129",27.5
"115","W01000130",12.0833333333333
"116","W01000131",32.0833333333333
"117","W01000132",46.6666666666667
"118","W01000133",11.6666666666667
"119","W01000134",33.3333333333333
"120","W01000135",19.1666666666667
"121","W01000136",29.1666666666667
"122","W01000137",11.6666666666667
"123","W01000138",57.5
"124","W01000139",30.8333333333333
"125","W01000140",40
"126","W01000141",7.08333333333333
"127","W01000142",12.9166666666667
"128","W01000143",54.5833333333333
"129","W01000144",125.416666666667
"130","W01000145",30.4166666666667
"131","W01000146",81.6666666666667
"132","W01000147",28.75
"133","W01000148",14.5833333333333
"134","W01000149",39.5833333333333
"135","W01000150",21.25
"136","W01000151",39.1666666666667
"137","W01000152",28.3333333333333
"138","W01000153",29.5833333333333
"139","W01000154",11.25
"140","W01000155",17.0833333333333
"141","W01000156",27.5
"142","W01000157",49.5833333333333
"143","W01000158",13.75
"144","W01000159",10.4166666666667
"145","W01000162",11.6666666666667
"146","W01000163",67.9166666666667
"147","W01000164",20.4166666666667
"148","W01000165",16.25
"149","W01000166",35.8333333333333
"150","W01000167",61.6666666666667
"151","W01000168",48.75
"152","W01000169",55.8333333333333
"153","W01000170",25.4166666666667
"154","W01000171",39.5833333333333
"155","W01000172",37.5
"156","W01000173",17.5
"157","W01000174",9.16666666666667
"158","W01000175",14.5833333333333
"159","W01000176",41.25
"160","W01000177",13.75
"161","W01000178",63.3333333333333
"162","W01000179",21.25
"163","W01000180",9.58333333333333
"164","W01000181",12.0833333333333
"165","W01000182",86.25
"166","W01000183",17.0833333333333
"167","W01000184",51.25
"168","W01000185",17.0833333333333
"169","W01000186",46.25
"170","W01000187",78.3333333333333
"171","W01000188",20.8333333333333
"172","W01000189",8.75
"173","W01000190",10.4166666666667
"174","W01000191",36.25
"175","W01000192",13.3333333333333
"176","W01000193",33.75
"177","W01000194",49.5833333333333
"178","W01000195",7.5
"179","W01000196",8.33333333333333
"180","W01000197",14.5833333333333
"181","W01000198",46.6666666666667
"182","W01000199",23.75
"183","W01000200",9.58333333333333
"184","W01000201",28.75
"185","W01000202",15.8333333333333
"186","W01000203",19.1666666666667
"187","W01000204",10.8333333333333
"188","W01000205",7.91666666666667
"189","W01000206",20.4166666666667
"190","W01000207",20.4166666666667
"191","W01000208",27.9166666666667
"192","W01000209",22.9166666666667
"193","W01000210",14.5833333333333
"194","W01000211",16.25
"195","W01000212",25
"196","W01000213",41.6666666666667
"197","W01000214",32.0833333333333
"198","W01000215",14.1666666666667
"199","W01000216",32.0833333333333
"200","W01000217",27.0833333333333
"201","W01000218",32.5
"202","W01000219",47.5
"203","W01000220",22.5
"204","W01000221",26.25
"205","W01000222",20.4166666666667
"206","W01000223",17.0833333333333
"207","W01000224",25.8333333333333
"208","W01000225",25
"209","W01000226",40.4166666666667
"210","W01000227",20.8333333333333
"211","W01000228",79.1666666666667
"212","W01000229",30
"213","W01000230",31.25
"214","W01000231",24.5833333333333
"215","W01000232",23.3333333333333
"216","W01000233",27.9166666666667
"217","W01000234",63.75
"218","W01000235",13.75
"219","W01000236",103.333333333333
"220","W01000237",72.5
"221","W01000238",42.5
"222","W01000239",141.25
"223","W01000240",204.583333333333
"224","W01000241",93.75
"225","W01000242",32.0833333333333
"226","W01000243",26.6666666666667
"227","W01000244",5.41666666666667
"228","W01000245",20
"229","W01000246",32.5
"230","W01000247",15.8333333333333
"231","W01000248",16.25
"232","W01000249",5.41666666666667
"233","W01000250",13.75
"234","W01000251",28.75
"235","W01000252",10.8333333333333
"236","W01000253",41.6666666666667
"237","W01000254",55.8333333333333
"238","W01000255",30
"239","W01000256",22.9166666666667
"240","W01000257",28.3333333333333
"241","W01000258",32.9166666666667
"242","W01000259",37.5
"243","W01000260",19.5833333333333
"244","W01000261",19.5833333333333
"245","W01000262",54.1666666666667
"246","W01000263",53.3333333333333
"247","W01000264",32.0833333333333
"248","W01000265",15.8333333333333
"249","W01000266",32.0833333333333
"250","W01000267",21.25
"251","W01000268",14.5833333333333
"252","W01000269",27.9166666666667
"253","W01000270",2.5
"254","W01000271",15
"255","W01000272",18.75
"256","W01000273",34.1666666666667
"257","W01000274",80
"258","W01000275",19.1666666666667
"259","W01000276",20.8333333333333
"260","W01000277",20.4166666666667
"261","W01000278",42.0833333333333
"262","W01000279",10
"263","W01000280",17.0833333333333
"264","W01000281",16.6666666666667
"265","W01000282",10.8333333333333
"266","W01000283",43.3333333333333
"267","W01000284",13.3333333333333
"268","W01000285",17.5
"269","W01000286",25.8333333333333
"270","W01000287",42.5
"271","W01000288",83.3333333333333
"272","W01000289",15
"273","W01000290",49.5833333333333
"274","W01000291",23.75
"275","W01000292",38.3333333333333
"276","W01000293",67.9166666666667
"277","W01000294",17.5
"278","W01000295",20.4166666666667
"279","W01000296",46.25
"280","W01000297",28.3333333333333
"281","W01000298",25.4166666666667
"282","W01000299",12.0833333333333
"283","W01000300",15.4166666666667
"284","W01000301",18.75
"285","W01000302",13.3333333333333
"286","W01000303",12.0833333333333
"287","W01000304",84.5833333333333
"288","W01000305",43.3333333333333
"289","W01000306",65.8333333333333
"290","W01000307",10.4166666666667
"291","W01000308",17.5
"292","W01000309",44.5833333333333
"293","W01000310",21.6666666666667
"294","W01000311",22.9166666666667
"295","W01000312",26.6666666666667
"296","W01000313",31.6666666666667
"297","W01000314",32.9166666666667
"298","W01000315",42.5
"299","W01000316",7.5
"300","W01000317",9.16666666666667
"301","W01000318",64.5833333333333
"302","W01000319",38.75
"303","W01000320",48.3333333333333
"304","W01000321",14.1666666666667
"305","W01000322",9.16666666666667
"306","W01000323",14.5833333333333
"307","W01000324",8.75
"308","W01000325",15.4166666666667
"309","W01000326",15
"310","W01000327",17.9166666666667
"311","W01000328",79.5833333333333
"312","W01000329",36.6666666666667
"313","W01000330",55.4166666666667
"314","W01000331",16.6666666666667
"315","W01000332",27.9166666666667
"316","W01000333",51.6666666666667
"317","W01000334",40.4166666666667
"318","W01000335",29.5833333333333
"319","W01000336",69.5833333333333
"320","W01000337",42.0833333333333
"321","W01000338",22.0833333333333
"322","W01000339",20.8333333333333
"323","W01000340",21.6666666666667
"324","W01000341",22.9166666666667
"325","W01000342",39.5833333333333
"326","W01000343",6.25
"327","W01000344",7.91666666666667
"328","W01000345",13.3333333333333
"329","W01000346",15.8333333333333
"330","W01000347",32.5
"331","W01000348",37.9166666666667
"332","W01000349",42.9166666666667
"333","W01000350",49.5833333333333
"334","W01000351",40
"335","W01000354",35.8333333333333
"336","W01000355",53.3333333333333
"337","W01000356",29.1666666666667
"338","W01000359",10.8333333333333
"339","W01000360",22.5
"340","W01000361",34.1666666666667
"341","W01000362",31.25
"342","W01000363",12.5
"343","W01000364",15.8333333333333
"344","W01000365",25.4166666666667
"345","W01000366",17.0833333333333
"346","W01000367",12.9166666666667
"347","W01000368",10.8333333333333
"348","W01000369",15
"349","W01000370",9.58333333333333
"350","W01000371",33.3333333333333
"351","W01000372",75.4166666666667
"352","W01000373",50
"353","W01000374",25.4166666666667
