"","LSOA.code","LSOA.name..Eng.","Local.Authority.name..Eng.","WIMD.2025_rank","Income_rank","Employment_rank","Health_rank","Education_rank","Access.to.Services_rank","Housing_rank","Community.Safety_rank","Physical.Environment_rank","X_rank","LSOA.name","Local.Authority.name","WIMD.2025_score","Income_score","Employment_score","Health_score","Education_score","Access.to.Services_score","Housing_score","Community.Safety_score","Physical.Environment_score"
"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","W01000003","Amlwch Port","Isle of Anglesey",570,407,589,566,607,1301,618,582,820,NA,"Amlwch Port","Isle of Anglesey",26.1,34.6,26.5,27.4,25.9,8.8,25.5,26.8,19.2
"8","W01000004","Amlwch Rural","Isle of Anglesey",1132,1215,1061,1574,637,263,844,1447,1543,NA,"Amlwch Rural","Isle of Anglesey",15.7,10.3,13.4,4.5,24.8,44,18.5,6.4,4.9
"9","W01000005","Beaumaris","Isle of Anglesey",676,719,810,983,428,491,792,718,375,NA,"Beaumaris","Isle of Anglesey",23.5,22.1,19.4,15.1,33.5,30.5,19.9,22.1,36.4
"10","W01000006","Bodffordd","Isle of Anglesey",991,1309,1227,1104,1301,145,180,1462,1870,NA,"Bodffordd","Isle of Anglesey",17.6,8.7,10.1,12.5,8.8,56.1,51.8,6.2,0.6
"11","W01000007","Bodorgan","Isle of Anglesey",1026,1168,1201,1742,1417,113,175,1441,1622,NA,"Bodorgan","Isle of Anglesey",17.2,11.2,10.6,2.2,6.9,61,52.4,6.5,3.8
"12","W01000008","Braint","Isle of Anglesey",1833,1615,1680,1622,1736,1686,1397,1566,1523,NA,"Braint","Isle of Anglesey",3.8,3.9,3,3.8,2.3,2.9,7.2,4.6,5.2
"13","W01000009","Bryngwran","Isle of Anglesey",573,717,855,917,627,275,82,869,1410,NA,"Bryngwran","Isle of Anglesey",26.1,22.2,18.2,16.7,25.1,43,66.9,17.9,7
"14","W01000010","Brynteg","Isle of Anglesey",1249,1354,1288,1445,921,356,581,1527,1182,NA,"Brynteg","Isle of Anglesey",13.8,7.9,9,6.4,16.6,37.5,26.8,5.2,11
"15","W01000011","Cadnant (Isle of Anglesey)","Isle of Anglesey",1550,1171,1409,1649,1604,1594,1435,475,594,NA,"Cadnant (Isle of Anglesey)","Isle of Anglesey",8.8,11.2,7,3.4,4.1,4.2,6.6,31.2,26.3
