"","X2021.super.output.area...lower.layer","All.Ages","Aged.0.to.15","Aged.16.","Aged.16.to.64","Aged.65.","lsoacode21","lsoaname21"
"1","W01000003  Isle of Anglesey 001A",2431,410,2021,1455,566,"W01000003"," Isle of Anglesey 001A"
"2","W01000004  Isle of Anglesey 001B",1283,171,1112,656,456,"W01000004"," Isle of Anglesey 001B"
"3","W01000018  Isle of Anglesey 001C",1184,171,1013,616,397,"W01000018"," Isle of Anglesey 001C"
"4","W01000028  Isle of Anglesey 001D",1975,371,1604,1151,453,"W01000028"," Isle of Anglesey 001D"
"5","W01000031  Isle of Anglesey 001E",1616,263,1353,901,452,"W01000031"," Isle of Anglesey 001E"
"6","W01000010  Isle of Anglesey 002A",1770,218,1552,862,690,"W01000010"," Isle of Anglesey 002A"
"7","W01000021  Isle of Anglesey 002C",2244,333,1911,1226,685,"W01000021"," Isle of Anglesey 002C"
"8","W01002005  Isle of Anglesey 002E",2257,316,1941,1169,772,"W01002005"," Isle of Anglesey 002E"
"9","W01000016  Isle of Anglesey 003A",1159,229,930,774,156,"W01000016"," Isle of Anglesey 003A"
"10","W01000017  Isle of Anglesey 003B",1757,387,1370,1042,328,"W01000017"," Isle of Anglesey 003B"
"11","W01000029  Isle of Anglesey 003C",1655,359,1296,1015,281,"W01000029"," Isle of Anglesey 003C"
"12","W01000030  Isle of Anglesey 003D",2316,496,1820,1351,469,"W01000030"," Isle of Anglesey 003D"
"13","W01000033  Isle of Anglesey 003E",1558,342,1216,903,313,"W01000033"," Isle of Anglesey 003E"
"14","W01000036  Isle of Anglesey 003F",1126,227,899,737,162,"W01000036"," Isle of Anglesey 003F"
"15","W01000037  Isle of Anglesey 003G",1213,232,981,733,248,"W01000037"," Isle of Anglesey 003G"
"16","W01000022  Isle of Anglesey 004A",1569,247,1322,898,424,"W01000022"," Isle of Anglesey 004A"
"17","W01000034  Isle of Anglesey 004B",1561,341,1220,887,333,"W01000034"," Isle of Anglesey 004B"
"18","W01000040  Isle of Anglesey 004D",1004,100,904,535,369,"W01000040"," Isle of Anglesey 004D"
"19","W01000044  Isle of Anglesey 004F",1099,113,986,592,394,"W01000044"," Isle of Anglesey 004F"
"20","W01002007  Isle of Anglesey 004G",2157,315,1842,1141,701,"W01002007"," Isle of Anglesey 004G"
"21","W01000005  Isle of Anglesey 005A",1599,183,1416,819,597,"W01000005"," Isle of Anglesey 005A"
"22","W01000013  Isle of Anglesey 005B",2123,338,1785,1149,636,"W01000013"," Isle of Anglesey 005B"
"23","W01000019  Isle of Anglesey 005C",1347,108,1239,632,607,"W01000019"," Isle of Anglesey 005C"
"24","W01000026  Isle of Anglesey 005D",1211,146,1065,620,445,"W01000026"," Isle of Anglesey 005D"
"25","W01000035  Isle of Anglesey 005E",1801,272,1529,990,539,"W01000035"," Isle of Anglesey 005E"
"26","W01000006  Isle of Anglesey 006A",1602,244,1358,915,443,"W01000006"," Isle of Anglesey 006A"
"27","W01000012  Isle of Anglesey 006B",1710,311,1399,899,500,"W01000012"," Isle of Anglesey 006B"
"28","W01000014  Isle of Anglesey 006C",2264,457,1807,1373,434,"W01000014"," Isle of Anglesey 006C"
"29","W01000041  Isle of Anglesey 006D",1616,443,1173,956,217,"W01000041"," Isle of Anglesey 006D"
"30","W01000009  Isle of Anglesey 007C",1870,341,1529,1072,457,"W01000009"," Isle of Anglesey 007C"
"31","W01000023  Isle of Anglesey 007D",1620,334,1286,940,346,"W01000023"," Isle of Anglesey 007D"
"32","W01000024  Isle of Anglesey 007E",1396,334,1062,951,111,"W01000024"," Isle of Anglesey 007E"
"33","W01002008  Isle of Anglesey 007F",2056,268,1788,1137,651,"W01002008"," Isle of Anglesey 007F"
